angle,cl
-10, 0.07938044530493782
-4.999999999999998, 0.45498547918683396
-0.020325203252031798, 0.8131655372700872
4.979674796747961, 1.173281703775411
10, 1.5121006776379478
14.979674796747968, 1.802516940948693
16.48373983739837, 1.8393030009680542
16.626016260162597, 1.7696030977734751
16.66666666666666, 1.6418199419167472
16.70731707317073, 1.510164569215876
16.788617886178866, 1.4288480154888674
17.743902439024392, 1.4094869312681508
19.878048780487806, 1.3262342691190707
21.626016260162604, 1.2894482090997097
22.439024390243897, 1.26621490803485
22.499999999999996, 1.1829622458857696
22.560975609756103, 1.0183930300096808
22.60162601626016, 0.8906098741529527
22.682926829268293, 0.8402710551790902
24.756097560975608, 0.8518877057115202
26.219512195121947, 0.8480154888673768
27.64227642276423, 0.8441432720232336
29.430894308943092, 0.8460793804453048
30.73170731707317, 0.8441432720232336
32.11382113821138, 0.8363988383349468
33.41463414634147, 0.8402710551790902
